label,sentence1,sentence2
main-captions,A man is playing guitar.,A man plays a guitar.
main-captions,A woman is using a sewing machine.,A woman is sewing on a machine.
main-captions,A woman is flipping pancakes.,A cartoon chef is flipping pancakes.
main-captions,A man is running on the road.,A car is driving down the road.
main-captions,A man is riding on a horse.,A man is talking on a phone.
main-captions,A man is riding a bike.,A man is riding on a horse.
main-captions,A woman is dancing.,A man is eating.
main-captions,A man is playing a piano.,A man is playing a flute.
main-captions,A man is playing a flute.,A man is playing a piano.
main-captions,A man is spinning.,A man is dancing.
main-captions,A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.
main-captions,The people got off the train.,The people got off the train at the station.
main-captions,A dog is jumping on a trampoline.,A dog bounces on a trampoline.
main-captions,A boy is playing an instrument.,A man is playing a trumpet.
main-captions,A woman plays the guitar.,A man sings and plays the guitar.
main-captions,A woman is picking a can.,A woman is slicing a tomato.
main-captions,A man is climbing a rope.,A man climbs up a rope.
main-captions,A man is lifting a car.,A man is climbing a wall.
main-captions,A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.
main-captions,The shirtless man sat in a chair.,A shirtless man is sitting on a chair.
main-captions,Two women are wrestling.,Two women are wrestling on the floor.
main-captions,The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.
main-captions,A kangroo is eating something.,A kangaroo is eating.
main-captions,A cat is playing a piano.,A man is playing a guitar.
main-captions,The man cut some carpet with a knife.,A man is cutting carpet with a knife.
main-captions,A woman is riding a motorized scooter down a road.,A man is riding a motor scooter.
main-captions,someone is slicing a vegetable.,Someone is slicing a tomato.
main-captions,A woman is dancing.,A man is talking.
main-captions,A dog licks up a baby's drool.,A dog licks a baby.
main-captions,A man is rowing a boat.,A man is slicing a tomato.
main-captions,A man cuts up potatos.,A man slices potatoes.
main-captions,A woman is chopping up garlic.,The woman is dicing garlic.
main-captions,An animal run in circles.,A squirrel runs in circles.
main-captions,A man is walking slowly across a rope bridge.,A boy is walking across a bridge.
main-captions,A man is playing the guitar.,A man seated in a room is playing the guitar.
main-captions,A man plays the flute.,A man is playing a flute.
main-captions,A woman cracks two eggs into a glass bowl.,A woman is cracking an egg into a bowl.
main-captions,A man is cutting a fish.,A man guts a fish.
main-captions,Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.
main-captions,A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.
main-captions,A man is slicing something.,A man is slicing a bun.
main-captions,A man is paddling a canoe.,A man is playing a harp.
main-captions,A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.
main-captions,The woman picked up the kangaroo.,A woman picks up a baby kangaroo.
main-captions,Fish are swimming.,A fish is swimming.
main-captions,Two women mix something in a food processor.,Two women make something in a blender.
main-captions,A person is surfing a large wave.,A person is surfing.
main-captions,A man is playing a guitar.,A man is stabbing a target.
main-captions,A man is playing a flute in a band.,A man is playing a guitar.
main-captions,The man spread butter on the loaf of bread.,A man is spreading butter onto bread.
main-captions,A person is boiling noodles.,A woman is boiling noodles in water.
main-captions,A group of people dance on a hill.,A group of people are dancing.
main-captions,A man is dancing outside.,A man is playing flute.
main-captions,A woman is feeding a man.,A woman is mixing meat.
main-captions,A man is putting a pan into an oven.,A woman is cutting an onion.
main-captions,A woman is sitting at a desk.,A woman is riding a donkey.
main-captions,Medics transport a patient on a stretcher.,A doctor rushes a patient on a stretcher.
main-captions,A woman is playing a flute on stage.,The woman is playing the flute.
main-captions,Two baby pandas are playing.,Two pandas are laying together.
main-captions,A baby is laughing.,A baby is laughing and giggling.
main-captions,A man is playing a guitar.,A boy is playing a piano.
main-captions,A man is folding paper.,A woman is slicing a pepper.
main-captions,Three women are dancing.,The man is dancing.
main-captions,The cats are playing with each other.,Two cats are fighting each other.
main-captions,A person is writing.,A person is writing with a pencil.
main-captions,A man is running.,A man is running down a road.
main-captions,The woman is rolling dough.,A woman is flouring and rolling dough.
main-captions,A woman is adding spices on a meat.,Woman is adding sugar to meat.
main-captions,A woman is adding oil on fishes.,A woman is pouring water on fish.
main-captions,A young boy is holding a guitar.,A little boy is playing a guitar.
main-captions,A cheetah is running.,A cheetah is running across a field.
main-captions,The man is eating pizza.,A man is eating a slice of pizza.
main-captions,An orangutan is riding a bus.,A monkey is riding on a bus.
main-captions,A man and a woman talk in a diner.,A man and a woman are riding on a bicycle.
main-captions,A man is playing a guitar.,A man is cleaning a glass door.
main-captions,A girl is singing and playing a guitar.,A young man is singing while playing the guitar.
main-captions,A girl is communicating with sign language.,A young girl is using sign language.
main-captions,A woman is doing weight exercises.,A woman is doing her hair.
main-captions,A man is getting inside a car.,An elderly man is getting into a red car.
main-captions,A big green ball knocks a potato over.,A large green ball hits a potato.
main-captions,A cat is playing keyboards.,A cat is playing a piano.
main-captions,Two dogs swim in a pool.,Dogs are swimming in a pool.
main-captions,The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.
main-captions,A woman slices tofu.,A woman is cutting tofu.
main-captions,A herd of deer are crossing the street.,A herd of caribou are crossing a road.
main-captions,The person is riding the horse.,A man is riding a horse.
main-captions,Someone is feeding a animal.,Someone is playing a piano.
main-captions,Someone is slicing tortila's.,Someone is riding a horse.
main-captions,Someone is mixing ingrediants.,Someone is sewing things.
main-captions,A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.
main-captions,A woman holds a kangaroo.,A woman is picking up a kangaroo.
main-captions,A man is playing with frogs,A cat is playing with a camera.
main-captions,Two men are talking.,Two men are playing guitar.
main-captions,A man spreads butter on a big piece of bread.,A man is smearing butter on a slice of garlic bread.
main-captions,A man is running across a high wire.,A man is running on rope.
main-captions,A man is mowing a lawn.,A woman is cutting a lemon.
main-captions,A man is opening a door.,A man is playing a guitar.
main-captions,A man is slicing a potato into pieces.,A man is cutting a potato.
main-captions,The woman is cutting cooked octopus.,A woman is chopping octopus.
main-captions,A man is punching through boards.,A dog is running through water.
main-captions,A man is dancing.,A man is eating bread.
main-captions,Someone is playing a piano.,A man is playing a guitar.
main-captions,Two foxes are eating from a plate on a brick patio.,Foxes are eating from a plate.
main-captions,A boy is playing a key-board.,A boy is playing the piano.
main-captions,A person plays a keyboard.,Someone is playing a keyboard.
main-captions,A man is shooting a gun.,A man is spitting.
main-captions,Someone is slicing an onion.,Someoen is peeling a potato.
main-captions,A man is swimming.,A woman is slicing meat.
main-captions,A man is playing the guitar.,A man plays an acoustic guitar.
main-captions,A woman is slicing a pumpkin.,A woman is riding an elephant.
main-captions,A woman is dancing.,A woman is kneading dough.
main-captions,A woman is cracking eggs into a bowl.,A woman is placing skewers onto a rack.
main-captions,A car is moving through a road.,A car is driving down the road.
main-captions,Someone is greasing a pan.,Smeone is laying down.
main-captions,A man is playing guitar.,A man is draining pasta.
main-captions,A woman is drinking vodka.,A woman is exercising.
main-captions,A woman is cutting meat into pieces.,A woman is cutting up some meat.
main-captions,A man is rinsing a steak.,A man is playing a guitar.
main-captions,A man is selling items.,A man is cleaning the house.
main-captions,A man is jumping a wall.,A man jumps onto a short wall.
main-captions,Runners race around a track.,Runners compete in a race.
main-captions,A man is kicking a soccer ball.,A man is mixing a bowl.
main-captions,A woman is frying something.,A woman is riding a horse.
main-captions,A cat is licking a sucker.,A woman is slicing cucumber.
main-captions,A woman is dancing by a fire.,A woman is taking a bath.
main-captions,The man is slicing a fish open.,A man is slicing a potato.
main-captions,Butter is melting in a pan.,A man is melting butter in a pan.
main-captions,Three boys are dancing.,Kids are dancing.
main-captions,A woman is playing a game with a man.,A man is playing piano.
main-captions,The man is driving a white car.,A man is giving an interview.
main-captions,A man drove his car.,A man is driving a car.
main-captions,A car backs out of a space.,A car is backing out of a blocked lane.
main-captions,A man puts some cheese on a pizza.,The man sprinkled cheese on the pizza.
main-captions,The boy is playing the piano.,A boy plays a piano.
main-captions,The man played his guitar.,A man is playing a guitar.
main-captions,A man is riding a horse.,A man is playing a keyboard.
main-captions,A man is walking on a rope.,A man is riding a mo-pad.
main-captions,A girl is playing a flute.,A band is playing on a stage.
main-captions,People step off a train.,A group of people get off a train.
main-captions,A woman is sewing on a machine.,A woman is breading some meat.
main-captions,A dog is looking into swimming pool.,A dog is walking around a pool.
main-captions,A man is buttering a piece of bread.,A man is applying butter to bread.
main-captions,A man is cutting tomatoes into pieces.,A woman is cutting some vegetables.
main-captions,Three teenage girls danced in the room.,Some teenage girls are dancing for the camera.
main-captions,A lion is walking.,A lion is pacing in a pen.
main-captions,A man shooting a car.,A man is cutting a potato.
main-captions,A black horse is running around.,The horse is running.
main-captions,A woman is deveining shrimp.,A man is dancing in rain.
main-captions,A man is riding a horse.,A woman is washing a freezer.
main-captions,A man walks down a path.,A man walks across a tight rope.
main-captions,A man is slicing a potato.,A woman is cutting a jalepeno.
main-captions,A dog is barking at a ball.,A dog swims after a tennis ball.
main-captions,A kid runs away from a fish swinging around on a fishing pole.,A little kid is running around a fishing pole.
main-captions,A man is walking along a path through wilderness.,A man is walking down a road.
main-captions,An elderly man is speaking at a podium.,A man is making a speech at the podium.
main-captions,A man riding a horse in slow motion.,A man is riding on a horse.
main-captions,A person is cutting some burrata cheese.,The person is slicing cheese.
main-captions,The man is shooting an automatic rifle.,A man is shooting a gun.
main-captions,A man is crushing garlic with the back of a knife.,A woman is slicing meat with a knife.
main-captions,A woman is filing her fingernails with an emery board.,A woman is feeding her baby with a bottle.
main-captions,A man is riding a skateboard.,A woman is cutting a potato.
main-captions,A woman is taking a shower.,A man is riding a white horse.
main-captions,A  man is dancing.,A man is riding a horse.
main-captions,A man is rowing a boat.,A man is shooting off a gun.
main-captions,A man is swinging from a rope attached to the ceiling.,A man is swinging on a rope.
main-captions,A woman is riding a horse on a beach.,A man is carrying another man on his back.
main-captions,A man holds a small animal in one hand.,A man shows off a small monkey.
main-captions,A person is folding a square paper piece.,A man is folding paper.
main-captions,A person is frying meat in a pan.,A person is holding a skunk.
main-captions,A chimpanzee is hurting a woman.,A man is driving a car.
main-captions,The woman is peeling shrimp.,The man is holding a lemur.
main-captions,Two zebras are playing.,Zebras are socializing.
main-captions,A woman is slicing butter.,A woman slices tofu.
main-captions,Some men are playing guitars.,Three men are playing guitars and singing together.
main-captions,The elephants sprayed water on themselves.,Elephants spray themselves with water.
main-captions,A dog sat at the counter of a store.,The dog is standing at the counter.
main-captions,Someone drills a hole in a strip of wood with a power drill.,A man drills a hole in a piece of wood.
main-captions,A woman is slicing some vegetables.,The woman is dicing garlic.
main-captions,A badger is burrowing a hole.,A badger is digging the earth.
main-captions,A woman is water skiing on a lake.,A man is playing a flute.
main-captions,A girl is playing a violin.,A baby is laughing and giggling.
main-captions,A helicopter is landing on a helipad.,A helicopter lands.
main-captions,A woman is cutting up a chicken.,A woman is slicing meat.
main-captions,A woman is cutting a cucumber.,A man is playing a guitar.
main-captions,A woman rides an elephant in front of an adoring crowd.,A woman rides an elephant.
main-captions,A puppy is sliding backwards along the floor.,A puppy is pushing itself backwards.
main-captions,A woman splits garlic cloves.,A woman is breaking a head of garlic into cloves.
main-captions,A dog is looking into swimming pool.,A dog is walking along the edge of a pool.
main-captions,A woman mixes a beauty treatment in a glass.,A woman is mixing a cream in a glass with a spoon.
main-captions,A man is drawing a picture.,A person is drawing.
main-captions,A woman is picking tomatoes.,A woman is pouring batter into a bowl.
main-captions,A man is looking at a computer monitor.,A man is using a laptop.
main-captions,The boy is riding a tricycle.,A woman is riding a water scooter.
main-captions,Two men compete in a tire rolling race.,Two people flipped tractor tires in a race.
main-captions,A person is cutting a meat.,A person riding a mechanical bull
main-captions,A man is playing a violin.,A woman is using a sewing machine.
main-captions,The baby crawled through the doorway.,A baby is crawling across the floor.
main-captions,A man is playing keyboard.,A person is playing a piano.
main-captions,A man is smelling two pizzas.,A woman is feeding a man.
main-captions,A monkey pulls the tail of a dog.,A monkey is teasing a dog at the zoo.
main-captions,A dog lies on his back on a wooden floor.,A dog is laying on the floor.
main-captions,A woman is frying something in the pan.,A man is playing his guitar.
main-captions,A man puts seasoning in a bowl of water.,The man added seasoning to water in a bowl.
main-captions,An elderly woman is pouring oil into a frying pan.,A tied man is putting into water.
main-captions,A woman is chopping an onion.,A woman is slicing partially into half of an onion.
main-captions,The woman picked up the kangaroo.,A woman is carrying a kangaroo.
main-captions,A dog biting on a can.,A dog opens a can of food.
main-captions,A woman is deboning a fish.,A man catches a fish.
main-captions,A man is mowing grass.,A man is busting concrete.
main-captions,A cat is watching a TV.,A man is slicing a leave.
main-captions,The boy is stuck in the door of the doghouse.,A child is stuck in a dog house.
main-captions,People flip into a swimming pool.,Men are falling into a pool.
main-captions,A woman swims underwater.,A woman is swimming.
main-captions,A man is playing a guitar.,A woman is dancing.
main-captions,An airplane is flying in the air.,A South African Airways plane is flying in a blue sky.
main-captions,A bear is running from two dogs.,A bear is fighting wolves.
main-captions,A woman is resting in a floating raft.,A woman relaxes in an inner tube.
main-captions,A man is dieing in an operating room.,A man is kissing a woman in stage.
main-captions,A man is holding a leaf.,A woman is watching television.
main-captions,A person is riding a horse.,A woman is slicing potatoes.
main-captions,A woman is slicing octopus.,A man is playing the guitar.
main-captions,A man is breaking water jugs.,A woman is peeling garlic.
main-captions,A man is playing a guitar.,A woman is cutting vegetable.
main-captions,A girl is eating a cupcake.,A man is slicing a cucumber.
main-captions,The little girl played on the grass with a dog and a ball.,A baby plays with a dog and ball.
main-captions,People ride and paddle a raft.,Four people are floating on a raft.
main-captions,The lady cut up a potatoe.,A man is cutting a potato.
main-captions,The missile exploded.,A rocket exploded.
main-captions,A dog is playing in the snow.,A dog is pawing at a fly in the carpet before it.
main-captions,A woman is dancing with other women.,A woman is shredding chicken.
main-captions,A boy is pushing a van.,A person is slicing a tomato.
main-captions,A boy is making some dance steps.,A boy is pouring something from a pitcher.
main-captions,A woman is opening a soda and drinking it.,A woman is riding on an elephant.
main-captions,A man is assembling speaker parts.,A man is playing the guitar.
main-captions,The dog walked along the edge of the pool.,A dog is walking along a pool.
main-captions,Butter is being put into a bowl.,A man cutting butter into a mixing bowl.
main-captions,Raccoons are eating.,A man is eating.
main-captions,Someone fell off a horse.,A man gets knocked off of a horse.
main-captions,A woman peels an apple.,A man pops wheelies on a motorcycle.
main-captions,A man is taking some math classes.,A man is rinsing a steak.
main-captions,Animals are playing in water.,Two men are playing ping pong.
main-captions,A man is riding a horse and jumping over obstacles.,A man is kicking a soccer ball.
main-captions,A person is doing pencil tricks with his hand.,A person is slicing carrots in half.
main-captions,The person lit the cameras on fire.,A person is blow torching cameras.
main-captions,The man is slicing the tape from the box.,A man is cutting open a box.
main-captions,A man is fishing in the river.,A man is singing while walking down the sidewalk.
main-captions,A man is riding a bike.,A woman is dancing in the street.
main-captions,A man is doing push-ups.,A woman is cutting some octopus.
main-captions,A man is playing guitar.,A woman is slicing up some pork.
main-captions,The little boy is singing and playing the guitar.,A baby is playing a guitar.
main-captions,A woman is powdering her face.,The woman is tapping her fingers on the table.
main-captions,A woman is peeling a potato.,A lion is walking around.
main-captions,A woman is firing a rifle.,A man is performing stunts.
main-captions,A woman puts a garland over a man's shoulders.,A man pours water over a pilots head.
main-captions,An old woman is shaking hand with a man.,A man and a woman shake hands.
main-captions,The woman is waterskiing.,A woman is wake boarding on a lake.
main-captions,Trees are bending in storm.,Trees are hit by very hard winds.
main-captions,A man and woman is riding in a car.,A woman is frying shrimp.
main-captions,A man is moving a tree limb.,The woman is playing the violin.
main-captions,A man plays a piano.,A woman is playing the violin.
main-captions,A person pours oil on a skillet.,A person is dicing an onion.
main-captions,The animal is eating.,A woman is dancing.
main-captions,The woman is walking her dog.,A woman walks her dog down the street.
main-captions,A group of people sing.,Some people are singing.
main-captions,The cat is drinking milk.,A cat is licking from a saucer of milk.
main-captions,A girl is making eyelid.,A woman is applying eyeshadow.
main-captions,Two men are fighting.,Two men are fighting using a form of martial arts.
main-captions,The military officer barked at the recruits.,An officer is talking to recruits.
main-captions,The man is putting chicken into the container.,A man is putting foods in a box.
main-captions,A man is tying on a stenographers machine.,the man used a stenograph.
main-captions,A woman is adding pasta to a pot of water.,A woman is making noodles.
main-captions,A woman is lying on a blanket on a rock and reading a book.,A woman seated is singing a song and playing the guitar too.
main-captions,Two puppies are playing with each other.,Some men are playing soccer.
main-captions,A man is running on a field.,A man climbs up a rope.
main-captions,A man is hugging someone.,A man is taking a picture.
main-captions,Someone is pouring ingrediants into a pot.,A man puts vegetables into a pot.
main-captions,A couple are walking.,Some men are sawing.
main-captions,A person is playing a guitar.,The man played his guitar.
main-captions,A person is adding food in a pan.,A woman puts rice into a pan.
main-captions,A group of penguins is walking.,A large amount of penguins are heading to the ocean.
main-captions,A man is playing a guitar.,Someone is handling a bun.
main-captions,A dog is jumping on a trampoline.,A boy is playing a guitar.
main-captions,A man is shaking a container over a kitchen sink.,A man is emptying a plastic container.
main-captions,A man is walking with a horse.,A man is leading a horse around by it's halter.
main-captions,Paper is being cut with scissors.,A piece of paper is being cut.
main-captions,A person peels shrimp.,The lady peeled the shrimp.
main-captions,A man is playing a guitar.,A man tries to read the paper.
main-captions,A man making a bed in a hotel.,A man is holding a animal.
main-captions,The dog pulled the dogs tail and then his leg.,A monkey pulled a dogs tail.
main-captions,A woman beats two eggs in a bowl.,A person is mixing ingredients in a bowl.
main-captions,A man is jumping rope outside.,A woman is slicing a cucumber.
main-captions,A person is slicing some onions.,A hamster is singing.
main-captions,A woman holds a kangaroo.,A man in a hat sings a song.
main-captions,Soccer players are kicking a soccer ball into the goal.,A soccer player scores a goal.
main-captions,A woman is cooking something.,A woman is pouring ingredients into a frying pan.
main-captions,A woman is swimming in the beach.,A woman splashes around in the ocean's waves.
main-captions,A man is carrying another man.,A man sprays another man with water from a hose.
main-captions,The woman is putting paste into a dish.,A woman is pulling some kind of sticky goo out of a bowl.
main-captions,A man is holding up and talking about a gray You Tube T-shirt.,A man is showing a t shirt.
main-captions,Someone pours olive oil into a bowl of tomato wedges.,The man poured oil on the tomato slices.
main-captions,A man is playing the guitar.,The man played his guitar with a friend.
main-captions,Someone is boiling okra in a pot.,Someone pours olive oil into a bowl of tomato wedges.
main-captions,A person is peeling a potato.,A cat is licking a small bottle.
main-captions,A cat is jumping into a box.,A young man is talking to a leaf.
main-captions,The woman is seasoning the oil.,A woman is pouring ingredients in a bowl.
main-captions,A cat is sliding upside down under a couch.,A cat is crawling under a piece of furniture on it's back.
main-captions,A woman dances while a man plays the keyboard.,A woman is dancing on a stage.
main-captions,A chef is cleaning up a bowl of soup.,A man is wiping the edge of a bowl off.
main-captions,An explosion is booming in the desert.,A nuclear weapon explodes in a desert.
main-captions,A woman slices a lemon.,A man is talking into a microphone.
main-captions,An overweight man is skipping rope.,A young man is dancing.
main-captions,The lady cracked two raw eggs.,The woman is cracking eggs into a bowl.
main-captions,A man sharpens a pencil using a knife.,A woman is dancing in the rain.
main-captions,Plastic toys are floating in water.,The ladies are performing a dance.
main-captions,The turtle followed the fish.,A sea turtle is hunting for fish.
main-captions,The woman is pencilling on eye shadow.,The girl is using an eye pencil on her eyelid.
main-captions,A man is tying his shoe.,A dog is riding on a bicyclists shoulders.
main-captions,A woman is slicing meat with a knife.,A man is spreading out dough.
main-captions,A dog is running on the ground.,A girl is tapping her finger nails.
main-captions,A man is petting a tied up dog.,A man is showing his dog to the camera.
main-captions,A woman is walking on an open ground with a pet dog as some other dogs follow them.,A man is walking with several dogs.
main-captions,A woman is mincing some garlic.,A person is cleaning a disk.
main-captions,Two teams are playing soccer.,Different sets of teams are playing football on a field.
main-captions,A rat like creature is smelling around.,An animal is walking on the ground.
main-captions,Two Sumo ringers are fighting each other.,A man rides a water toy in the water.
main-captions,A man lays on the ground and aims a rifle.,A man is spreading butter on a tortilla.
main-captions,A couple are running towards the ocean.,A man and and woman are running together
main-captions,A woman is chopping a hard egg.,A person is cutting  boiled egg into pieces.
main-captions,Two robots share a kiss.,A male and female robot are kissing.
main-captions,A cat is trying to touch a dog.,The cat teased the dog by touching his head.
main-captions,The rhino grazed on the grass.,A rhino is grazing in a field.
main-captions,The man drove his little red car around the traffic.,The dog ran in the water at the beach.
main-captions,A man is cutting bread.,A man is doing tricks with a soccer ball.
main-captions,A cat rapidly swats a kid in the head.,A cat and a boy play together.
main-captions,A cat is playing in a box.,The dog is playing with the floor cleaner.
main-captions,The couple danced in the church.,A couple slow dances.
main-captions,A man is patting an alligator on the mouth.,A person is dumping chopped vegetables into a pot on the stove.
main-captions,A person checks some rice pudding.,A horse is running.
main-captions,A woman is stirring two eggs in a glass bowl.,A young girl is singing on a stage.
main-captions,The man is playing the drums.,A man pours cleaner in his sink.
main-captions,A man is slicing a pepper.,A person cuts a big green pepper apart.
main-captions,A woman is speaking in sign language.,A woman spices some seafood.
main-captions,A boy is crawling into a dog house.,A cat is playing on the floor.
main-captions,The girl flew her kite while she ran up a hill.,A girl loses her kite.
main-captions,A woman is placing food in a pot of hot water.,A woman is frying meat.
main-captions,A small monkey walks through water.,A monkey is wading across a marsh.
main-captions,A man is riding a bike.,A panda bear is eating.
main-captions,A young man is singing and playing the piano.,The man is writing a letter.
main-captions,A boy takes off his sunglasses.,A boy is screaming.
main-captions,A girl is playing a piano.,A boy is doing push ups.
